date,product,region,sales,quantity
2024-01-01,Laptop,North,1500,3
2024-01-02,Laptop,South,2000,4
2024-01-03,Mouse,North,150,10
2024-01-04,Mouse,South,200,15
2024-01-05,Keyboard,North,500,5
2024-01-06,Keyboard,South,600,6
2024-01-07,Monitor,North,3000,8
2024-01-08,Monitor,South,3500,10
2024-01-09,Laptop,East,2500,5
2024-01-10,Mouse,East,180,12
2024-01-11,Keyboard,East,550,7
2024-01-12,Monitor,East,3200,9
2024-01-13,Tablet,North,800,4
2024-01-14,Tablet,South,900,5
2024-01-15,Tablet,East,850,6
2024-01-16,Headphones,North,120,20
2024-01-17,Headphones,South,150,25
2024-01-18,Headphones,East,130,22
